sub.ID,A person's family is the most important thing in life.,"Even if something bad is about to happen to me, I rarely experience fear or nervousness.",I go out of my way to get things I want.,When I'm doing well at something I love to keep at it.,I'm always willing to try something new if I think it will be fun.,How I dress is important to me.,"When I get something I want, I feel excited and energized.",Criticism or scolding hurts me quite a bit.,When I want something I usually go all-out to get it.,I will often do things for no other reason than that they might be fun.,It's hard for me to find the time to do things such as get a haircut.,If I see a chance to get something I want I move on it right away.,When I see an opportunity for something I like I get excited right away.,I often act on the spur of the moment.,"If I think something unpleasant is going to happen I usually get pretty ""worked up""",I often wonder why people act the way they do.,"When good things happen to me, it affects me strongly.",I feel worried when I think I have done poorly at something important.,I crave excitement and new sensations.,"When I go after something I use a ""no holds barred"" approach.",I have very few fears compared to my friends.,It would excite me to win a contest.,I worry about making mistakes.,I feel pretty worried or upset when I think or know somebody is angry at me.,I plan tasks carefully.,I do things without thinking.,I make up my mind quickly.,I am happy-go-lucky.,I don’t “pay attention.”,I have “racing” thoughts.,I plan trips well ahead of time.,I am self-controlled.,I concentrate easily.,I save regularly.,I “squirm” at plays or lectures.,I am a careful thinker.,I plan for job security.,I say things without thinking.,I like to think about complex problems.,I change jobs.,I act “on impulse.”,I get easily bored when solving thought problems.,I am a steady thinker.,I change residences.,I buy things on impulse.,I can only think about one problem at a time.,I change hobbies.,I spend or charge more than I earn.,I often have outside thoughts when thinking.,I am more interested in the present than the future.,I am restless at lectures or talks.,I like puzzles.,I plan for the future.,I act on the spur of the moment.,Admitting that your tastes are different from those of a friend.,Going camping in the wilderness.,Betting a day’s income at the horse races.,Investing 10% of your annual income in a moderate growth mutual fund.,Drinking heavily at a social function.,Taking some questionable deductions on your income tax return.,Disagreeing with an authority figure on a major issue.,Betting a day’s income at a high-stake poker game.,Having an affair with a married man/woman.,Passing off somebody else’s work as your own.,Going down a ski run that is beyond your ability.,Investing 5% of your annual income in a very speculative stock.,Going whitewater rafting at high water in the spring.,Betting a day’s income on the outcome of a sporting event.,Engaging in unprotected sex.,Revealing a friend’s secret to someone else.,Driving a car without wearing a seat belt.,Investing 10% of your annual income in a new business venture.,Taking a skydiving class.,Riding a motorcycle without a helmet.,Choosing a career that you truly enjoy over a more secure one.,Speaking your mind about an unpopular issue in a meeting at work.,Sunbathing without sunscreen.,Bungee jumping off a tall bridge.,Piloting a small plane.,Walking home alone at night in an unsafe area of town.,Moving to a city far away from your extended family.,Starting a new career in your mid-thirties.,Leaving your young children alone at home while running an errand.,Not returning a wallet you found that contains $200.,Admitting that your tastes are different from those of a friend.,Going camping in the wilderness.,Betting a day’s income at the horse races.,Investing 10% of your annual income in a moderate growth mutual fund.,Drinking heavily at a social function.,Taking some questionable deductions on your income tax return.,Disagreeing with an authority figure on a major issue.,Betting a day’s income at a high-stake poker game.,Having an affair with a married man/woman.,Passing off somebody else’s work as your own.,Going down a ski run that is beyond your ability.,Investing 5% of your annual income in a very speculative stock.,Going whitewater rafting at high water in the spring.,Betting a day’s income on the outcome of a sporting event.,Engaging in unprotected sex.,Revealing a friend’s secret to someone else.,Driving a car without wearing a seat belt.,Investing 10% of your annual income in a new business venture.,Taking a skydiving class.,Riding a motorcycle without a helmet.,Choosing a career that you truly enjoy over a more secure one.,Speaking your mind about an unpopular issue in a meeting at work.,Sunbathing without sunscreen.,Bungee jumping off a tall bridge.,Piloting a small plane.,Walking home alone at night in an unsafe area of town.,Moving to a city far away from your extended family.,Starting a new career in your mid-thirties.,Leaving your young children alone at home while running an errand.,Not returning a wallet you found that contains $200.,Admitting that your tastes are different from those of a friend.,Going camping in the wilderness.,Betting a day’s income at the horse races.,Investing 10% of your annual income in a moderate growth mutual fund.,Drinking heavily at a social function.,Taking some questionable deductions on your income tax return.,Disagreeing with an authority figure on a major issue.,Betting a day’s income at a high-stake poker game.,Having an affair with a married man/woman.,Passing off somebody else’s work as your own.,Going down a ski run that is beyond your ability.,Investing 5% of your annual income in a very speculative stock.,Going whitewater rafting at high water in the spring.,Betting a day’s income on the outcome of a sporting event.,Engaging in unprotected sex.,Revealing a friend’s secret to someone else.,Driving a car without wearing a seat belt.,Investing 10% of your annual income in a new business venture.,Taking a skydiving class.,Riding a motorcycle without a helmet.,Choosing a career that you truly enjoy over a more secure one.,Speaking your mind about an unpopular issue in a meeting at work.,Sunbathing without sunscreen.,Bungee jumping off a tall bridge.,Piloting a small plane.,Walking home alone at night in an unsafe area of town.,Moving to a city far away from your extended family.,Starting a new career in your mid-thirties.,Leaving your young children alone at home while running an errand.,Not returning a wallet you found that contains $200.
10,Somewhat True,Somewhat False,Somewhat False,Very True,Somewhat False,Somewhat False,Somewhat True,Very False,Very True,Very False,Very True,Somewhat True,Somewhat True,Somewhat False,Very False,Somewhat True,Somewhat True,Very True,Very False,Somewhat True,Somewhat False,Somewhat True,Very True,Very True,Almost Always,Occasionally,Occasionally,Rarely / Never,Rarely / Never,Almost Always,Almost Always,Almost Always,Often,Almost Always,Often,Almost Always,Often,Occasionally,Almost Always,Choose Not to Answer,Occasionally,Occasionally,Often,Rarely / Never,Rarely / Never,Occasionally,Occasionally,Rarely / Never,Rarely / Never,Occasionally,Occasionally,Often,Almost Always,Rarely / Never,Moderately Likely,Extremely Likely,Extremely Unlikely,Somewhat Unlikely,Extremely Unlikely,Moderately Unlikely,Somewhat Likely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Somewhat Likely,Moderately Unlikely,Somewhat Likely,Extremely Unlikely,Extremely Unlikely,Somewhat Unlikely,Somewhat Likely,Moderately Unlikely,Somewhat Likely,Extremely Unlikely,Moderately Likely,Somewhat Likely,Moderately Unlikely,Moderately Unlikely,Somewhat Likely,Moderately Likely,Somewhat Likely,Extremely Unlikely,Extremely Unlikely,Moderately Unlikely,Slightly Risky,Slightly Risky,Risky,Very Risky,Risky,Risky,Moderately Risky,Very Risky,Extremely Risky,Extremely Risky,Risky,Very Risky,Risky,Extremely Risky,Extremely Risky,Moderately Risky,Risky,Very Risky,Somewhat Risky,Extremely Risky,Risky,Somewhat Risky,Very Risky,Moderately Risky,Risky,Risky,Slightly Risky,Moderately Risky,Extremely Risky,Moderately Risky,3,4 Moderate Benefits,5,5,1 No benefits At all,3,3,1 No benefits At all,1 No benefits At all,1 No benefits At all,4Moderate Benefits,5,3,5,1No benefits At all,1No benefits At all,2,4Moderate Benefits,4Moderate Benefits,2,6,3,1No benefits At all,3,5,3,4Moderate Benefits,4Moderate Benefits,1No benefits At all,3
13,Very True,Somewhat True,Very True,Very True,Very True,Very True,Very True,Very True,Very True,Somewhat True,Very False,Very True,Very True,Somewhat False,Very False,Somewhat False,Very True,Very True,Somewhat True,Somewhat True,Very True,Very True,Somewhat False,Somewhat False,Almost Always,Rarely / Never,Often,Often,Rarely / Never,Rarely / Never,Almost Always,Almost Always,Almost Always,Almost Always,Rarely / Never,Almost Always,Almost Always,Rarely / Never,Often,Occasionally,Rarely / Never,Occasionally,Almost Always,Rarely / Never,Occasionally,Occasionally,Often,Rarely / Never,Rarely / Never,Often,Rarely / Never,Almost Always,Almost Always,Occasionally,Extremely Likely,Moderately Unlikely,Extremely Unlikely,Moderately Likely,Extremely Unlikely,Extremely Unlikely,Moderately Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Somewhat Likely,Moderately Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Likely,Moderately Likely,Moderately Unlikely,Extremely Unlikely,Somewhat Likely,Extremely Unlikely,Extremely Likely,Extremely Likely,Extremely Unlikely,Extremely Unlikely,Not at all Risky,Extremely Risky,Extremely Risky,Somewhat Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Very Risky,Extremely Risky,Extremely Risky,Extremely Risky,Very Risky,Extremely Risky,Very Risky,Extremely Risky,Extremely Risky,Risky,Very Risky,Very Risky,Extremely Risky,Risky,Extremely Risky,Very Risky,Slightly Risky,Extremely Risky,Extremely Risky,4 Moderate Benefits,1 No benefits At all,1 No benefits At all,5,1 No benefits At all,1 No benefits At all,1 No benefits At all,1 No benefits At all,1 No benefits At all,1 No benefits At all,1No benefits At all,5,1No benefits At all,1No benefits At all,2,1No benefits At all,1No benefits At all,5,1No benefits At all,1No benefits At all,7 Great Benefits,5,1No benefits At all,1No benefits At all,6,1No benefits At all,7 Great Benefits,7 Great Benefits,1No benefits At all,2
15,Somewhat True,Somewhat False,Somewhat False,Very True,Very True,Somewhat True,Somewhat True,Very True,Somewhat False,Somewhat False,Somewhat False,Somewhat True,Somewhat True,Somewhat False,Very True,Very True,Somewhat True,Very True,Somewhat True,Somewhat True,Somewhat True,Very True,Somewhat True,Somewhat True,Occasionally,Often,Rarely / Never,Often,Occasionally,Occasionally,Often,Often,Occasionally,Occasionally,Occasionally,Often,Occasionally,Rarely / Never,Occasionally,Often,Rarely / Never,Occasionally,Occasionally,Occasionally,Occasionally,Often,Occasionally,Occasionally,Occasionally,Rarely / Never,Occasionally,Occasionally,Occasionally,Often,Somewhat Unlikely,Somewhat Likely,Moderately Unlikely,Somewhat Unlikely,Moderately Unlikely,Somewhat Unlikely,Moderately Unlikely,Somewhat Unlikely,Extremely Unlikely,Somewhat Unlikely,Extremely Unlikely,Not Sure,Moderately Unlikely,Extremely Unlikely,Extremely Unlikely,Moderately Unlikely,Moderately Unlikely,Somewhat Unlikely,Extremely Unlikely,Extremely Unlikely,Somewhat Likely,Somewhat Likely,Somewhat Unlikely,Extremely Unlikely,Extremely Unlikely,Somewhat Unlikely,Moderately Unlikely,Moderately Likely,Extremely Unlikely,Somewhat Unlikely,Not at all Risky,Somewhat Risky,Risky,Moderately Risky,Moderately Risky,Risky,Moderately Risky,Risky,Somewhat Risky,Moderately Risky,Risky,Moderately Risky,Moderately Risky,Somewhat Risky,Very Risky,Moderately Risky,Very Risky,Risky,Very Risky,Very Risky,Not at all Risky,Slightly Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Very Risky,Risky,Very Risky,Not at all Risky,4 Moderate Benefits,7 Great Benefits,3,7 Great Benefits,3,3,5,2,3,4 Moderate Benefits,1No benefits At all,2,3,3,3,2,4Moderate Benefits,4Moderate Benefits,1No benefits At all,1No benefits At all,7 Great Benefits,2,2,1No benefits At all,1No benefits At all,3,2,3,4Moderate Benefits,2
18,Very True,Somewhat False,Somewhat False,Very True,Somewhat True,Very True,Somewhat True,Somewhat True,Somewhat False,Somewhat False,Very False,Somewhat False,Somewhat False,Somewhat False,Somewhat True,Somewhat False,Somewhat True,Very True,Somewhat False,Very False,Somewhat True,Somewhat True,Very True,Somewhat True,Almost Always,Rarely / Never,Often,Rarely / Never,Almost Always,Occasionally,Almost Always,Almost Always,Almost Always,Almost Always,Rarely / Never,Rarely / Never,Choose Not to Answer,Rarely / Never,Rarely / Never,Choose Not to Answer,Rarely / Never,Rarely / Never,Almost Always,Occasionally,Rarely / Never,Rarely / Never,Rarely / Never,Rarely / Never,Rarely / Never,Rarely / Never,Rarely / Never,Rarely / Never,Almost Always,Rarely / Never,Extremely Likely,Extremely Unlikely,Extremely Unlikely,Extremely Likely,Extremely Unlikely,Extremely Unlikely,Extremely Likely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Moderately Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Somewhat Likely,Moderately Likely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Likely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Not at all Risky,Somewhat Risky,Extremely Risky,Not at all Risky,Extremely Risky,Extremely Risky,Not at all Risky,Extremely Risky,Not at all Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Moderately Risky,Moderately Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Moderately Risky,Extremely Risky,Not at all Risky,4 Moderate Benefits,1 No benefits At all,1 No benefits At all,6,1 No benefits At all,1 No benefits At all,3,1 No benefits At all,4 Moderate Benefits,1 No benefits At all,1No benefits At all,2,1No benefits At all,1No benefits At all,1No benefits At all,1No benefits At all,1No benefits At all,4Moderate Benefits,1No benefits At all,1No benefits At all,5,4Moderate Benefits,1No benefits At all,1No benefits At all,1No benefits At all,1No benefits At all,1No benefits At all,5,1No benefits At all,1No benefits At all
19,Somewhat True,Somewhat False,Somewhat True,Very True,Very True,Very True,Very True,Somewhat True,Somewhat True,Very True,Somewhat False,Somewhat False,Somewhat True,Somewhat True,Somewhat True,Choose not to answer,Somewhat True,Very True,Very True,Somewhat False,Somewhat False,Very True,Somewhat True,Very True,Often,Occasionally,Occasionally,Often,Occasionally,Occasionally,Often,Often,Often,Occasionally,Occasionally,Often,Occasionally,Occasionally,Almost Always,Occasionally,Often,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Occasionally,Often,Occasionally,Occasionally,Almost Always,Often,Often,Extremely Likely,Somewhat Unlikely,Moderately Unlikely,Not Sure,Somewhat Unlikely,Somewhat Likely,Moderately Likely,Moderately Unlikely,Somewhat Likely,Extremely Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Moderately Unlikely,Extremely Unlikely,Moderately Unlikely,Extremely Unlikely,Not Sure,Somewhat Likely,Moderately Unlikely,Extremely Likely,Moderately Likely,Moderately Unlikely,Moderately Unlikely,Moderately Unlikely,Somewhat Likely,Moderately Likely,Moderately Likely,Moderately Unlikely,Moderately Unlikely,Slightly Risky,Slightly Risky,Moderately Risky,Slightly Risky,Moderately Risky,Moderately Risky,Risky,Moderately Risky,Moderately Risky,Very Risky,Risky,Risky,Risky,Risky,Very Risky,Risky,Extremely Risky,Very Risky,Somewhat Risky,Very Risky,Moderately Risky,Risky,Risky,Moderately Risky,Moderately Risky,Somewhat Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Not at all Risky,5,4 Moderate Benefits,3,5,4 Moderate Benefits,5,5,3,4 Moderate Benefits,2,4Moderate Benefits,4Moderate Benefits,4Moderate Benefits,3,1No benefits At all,3,1No benefits At all,4Moderate Benefits,4Moderate Benefits,2,6,4Moderate Benefits,1No benefits At all,3,5,3,4Moderate Benefits,5,1No benefits At all,4Moderate Benefits
20,Somewhat True,Very True,Somewhat True,Somewhat True,Somewhat True,Very True,Somewhat True,Somewhat True,Somewhat True,Somewhat True,Choose not to answer,Somewhat True,Somewhat True,Somewhat True,Somewhat False,Somewhat False,Somewhat True,Somewhat False,Somewhat True,Somewhat True,Very True,Very True,Somewhat False,Somewhat False,Almost Always,Rarely / Never,Often,Often,Occasionally,Rarely / Never,Almost Always,Almost Always,Almost Always,Often,Almost Always,Almost Always,Almost Always,Rarely / Never,Often,Rarely / Never,Often,Rarely / Never,Almost Always,Rarely / Never,Occasionally,Rarely / Never,Rarely / Never,Occasionally,Occasionally,Often,Occasionally,Occasionally,Almost Always,Often,Extremely Likely,Moderately Unlikely,Extremely Unlikely,Not Sure,Somewhat Likely,Not Sure,Somewhat Likely,Extremely Unlikely,Not Sure,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Moderately Unlikely,Extremely Unlikely,Somewhat Likely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Somewhat Unlikely,Extremely Unlikely,Somewhat Unlikely,Not Sure,Extremely Unlikely,Not Sure,Not Sure,Somewhat Likely,Somewhat Likely,Not Sure,Extremely Unlikely,Not Sure,Not at all Risky,Risky,Extremely Risky,Moderately Risky,Somewhat Risky,Somewhat Risky,Slightly Risky,Extremely Risky,Very Risky,Risky,Extremely Risky,Risky,Very Risky,Very Risky,Extremely Risky,Moderately Risky,Risky,Risky,Extremely Risky,Extremely Risky,Risky,Moderately Risky,Moderately Risky,Risky,Risky,Very Risky,Somewhat Risky,Moderately Risky,Very Risky,Somewhat Risky,3,3,3,3,1 No benefits At all,3,3,3,1 No benefits At all,1 No benefits At all,1No benefits At all,2,2,3,1No benefits At all,1No benefits At all,1No benefits At all,3,2,1No benefits At all,5,3,1No benefits At all,1No benefits At all,1No benefits At all,1No benefits At all,4Moderate Benefits,4Moderate Benefits,1No benefits At all,3
22,Very True,Very False,Very True,Very True,Very True,Very True,Very True,Very False,Somewhat True,Very False,Very False,Very True,Somewhat True,Very False,Very False,Somewhat False,Very True,Very True,Somewhat False,Somewhat True,Very True,Very True,Very True,Somewhat True,Almost Always,Rarely / Never,Often,Almost Always,Rarely / Never,Rarely / Never,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Rarely / Never,Almost Always,Occasionally,Rarely / Never,Rarely / Never,Almost Always,Often,Rarely / Never,Often,Rarely / Never,Rarely / Never,Rarely / Never,Occasionally,Rarely / Never,Almost Always,Almost Always,Rarely / Never,Extremely Likely,Moderately Likely,Extremely Unlikely,Extremely Likely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Moderately Unlikely,Somewhat Likely,Moderately Likely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Not Sure,Moderately Likely,Extremely Likely,Not Sure,Extremely Likely,Extremely Likely,Extremely Unlikely,Extremely Unlikely,Extremely Likely,Extremely Likely,Extremely Likely,Extremely Likely,Extremely Unlikely,Extremely Unlikely,Not at all Risky,Not at all Risky,Extremely Risky,Not at all Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Extremely Risky,Not at all Risky,Not at all Risky,Not at all Risky,Extremely Risky,Extremely Risky,Extremely Risky,Somewhat Risky,Slightly Risky,Not at all Risky,Not at all Risky,Not at all Risky,Not at all Risky,Extremely Risky,Moderately Risky,Not at all Risky,Not at all Risky,Not at all Risky,Not at all Risky,Not at all Risky,Extremely Risky,7 Great Benefits,7 Great Benefits,1 No benefits At all,6,1 No benefits At all,1 No benefits At all,1 No benefits At all,1 No benefits At all,1 No benefits At all,1 No benefits At all,1No benefits At all,4Moderate Benefits,4Moderate Benefits,1No benefits At all,1No benefits At all,1No benefits At all,4Moderate Benefits,6,7Great Benefits,5,7 Great Benefits,6,7 Great Benefits,7 Great Benefits,7 Great Benefits,7 Great Benefits,7 Great Benefits,7 Great Benefits,1No benefits At all,1No benefits At all
23,Very False,Somewhat True,Somewhat False,Somewhat True,Very True,Somewhat True,Somewhat True,Somewhat False,Somewhat False,Somewhat True,Somewhat False,Somewhat False,Somewhat False,Somewhat False,Somewhat False,Very True,Somewhat False,Somewhat False,Somewhat True,Somewhat False,Very True,Somewhat True,Somewhat False,Somewhat True,Often,Rarely / Never,Almost Always,Occasionally,Rarely / Never,Occasionally,Occasionally,Almost Always,Almost Always,Often,Rarely / Never,Almost Always,Occasionally,Rarely / Never,Almost Always,Occasionally,Rarely / Never,Often,Almost Always,Occasionally,Rarely / Never,Rarely / Never,Occasionally,Rarely / Never,Occasionally,Occasionally,Rarely / Never,Often,Often,Occasionally,Extremely Likely,Somewhat Likely,Extremely Unlikely,Somewhat Unlikely,Somewhat Likely,Moderately Unlikely,Extremely Likely,Extremely Unlikely,Moderately Unlikely,Moderately Unlikely,Moderately Likely,Extremely Unlikely,Somewhat Unlikely,Moderately Unlikely,Moderately Likely,Moderately Unlikely,Moderately Unlikely,Somewhat Likely,Somewhat Unlikely,Moderately Unlikely,Moderately Likely,Somewhat Likely,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Likely,Moderately Likely,Moderately Likely,Somewhat Unlikely,Somewhat Likely,Not at all Risky,Slightly Risky,Somewhat Risky,Somewhat Risky,Slightly Risky,Moderately Risky,Moderately Risky,Somewhat Risky,Slightly Risky,Risky,Somewhat Risky,Moderately Risky,Very Risky,Somewhat Risky,Somewhat Risky,Moderately Risky,Somewhat Risky,Moderately Risky,Slightly Risky,Very Risky,Moderately Risky,Moderately Risky,Moderately Risky,Somewhat Risky,Risky,Somewhat Risky,Slightly Risky,Somewhat Risky,Risky,Not at all Risky,2,4 Moderate Benefits,3,3,2,4 Moderate Benefits,5,4 Moderate Benefits,3,6,3,4Moderate Benefits,3,3,3,2,2,5,3,2,5,5,2,3,4Moderate Benefits,2,5,5,2,3
24,Somewhat True,Somewhat True,Very True,Very True,Very True,Somewhat True,Very True,Very True,Somewhat True,Somewhat True,Very False,Very True,Very True,Somewhat True,Somewhat True,Somewhat True,Very True,Very True,Very True,Somewhat True,Very True,Very True,Somewhat True,Very True,Often,Occasionally,Occasionally,Rarely / Never,Occasionally,Almost Always,Almost Always,Often,Often,Often,Often,Often,Almost Always,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Often,Occasionally,Rarely / Never,Often,Rarely / Never,Rarely / Never,Often,Rarely / Never,Almost Always,Often,Almost Always,Often,Moderately Likely,Moderately Unlikely,Extremely Unlikely,Extremely Likely,Extremely Likely,Moderately Likely,Somewhat Unlikely,Extremely Likely,Not Sure,Extremely Unlikely,Moderately Likely,Extremely Likely,Extremely Likely,Moderately Unlikely,Moderately Likely,Somewhat Unlikely,Extremely Unlikely,Extremely Likely,Moderately Likely,Extremely Unlikely,Somewhat Unlikely,Somewhat Likely,Extremely Unlikely,Extremely Likely,Moderately Likely,Moderately Likely,Extremely Likely,Moderately Unlikely,Moderately Likely,Moderately Likely,Not at all Risky,Not at all Risky,Risky,Slightly Risky,Not at all Risky,Not at all Risky,Not at all Risky,Somewhat Risky,Very Risky,Very Risky,Moderately Risky,Somewhat Risky,Not at all Risky,Somewhat Risky,Slightly Risky,Somewhat Risky,Very Risky,Moderately Risky,Not at all Risky,Very Risky,Very Risky,Somewhat Risky,Risky,Somewhat Risky,Somewhat Risky,Somewhat Risky,Not at all Risky,Extremely Risky,Moderately Risky,Not at all Risky,2,4 Moderate Benefits,2,7 Great Benefits,6,4 Moderate Benefits,2,5,6,2,5,6,7Great Benefits,2,6,3,1No benefits At all,6,6,1No benefits At all,3,5,1No benefits At all,6,6,3,7 Great Benefits,1No benefits At all,4Moderate Benefits,6
26,Very True,Somewhat False,Somewhat True,Very True,Somewhat True,Somewhat True,Very True,Somewhat False,Somewhat True,Somewhat True,Very True,Somewhat True,Somewhat True,Somewhat True,Somewhat False,Very True,Very True,Very True,Somewhat True,Somewhat True,Somewhat True,Very True,Somewhat False,Somewhat False,Often,Occasionally,Often,Almost Always,Occasionally,Rarely / Never,Almost Always,Often,Almost Always,Almost Always,Rarely / Never,Often,Almost Always,Rarely / Never,Rarely / Never,Rarely / Never,Occasionally,Occasionally,Often,Rarely / Never,Occasionally,Occasionally,Often,Occasionally,Rarely / Never,Often,Occasionally,Occasionally,Occasionally,Occasionally,Moderately Likely,Somewhat Likely,Moderately Unlikely,Somewhat Likely,Moderately Unlikely,Moderately Likely,Moderately Likely,Moderately Unlikely,Somewhat Unlikely,Extremely Unlikely,Extremely Unlikely,Somewhat Unlikely,Extremely Unlikely,Moderately Unlikely,Extremely Unlikely,Extremely Unlikely,Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Extremely Unlikely,Moderately Likely,Extremely Likely,Somewhat Likely,Extremely Unlikely,Somewhat Unlikely,Extremely Unlikely,Somewhat Unlikely,Moderately Likely,Extremely Unlikely,Extremely Unlikely,Somewhat Risky,Very Risky,Moderately Risky,Slightly Risky,Risky,Slightly Risky,Risky,Risky,Very Risky,Extremely Risky,Extremely Risky,Slightly Risky,Very Risky,Somewhat Risky,Extremely Risky,Very Risky,Very Risky,Risky,Very Risky,Extremely Risky,Slightly Risky,Very Risky,Very Risky,Extremely Risky,Very Risky,Extremely Risky,Risky,Risky,Extremely Risky,Not at all Risky,4 Moderate Benefits,1 No benefits At all,2,3,1 No benefits At all,4 Moderate Benefits,5,1 No benefits At all,2,1 No benefits At all,1No benefits At all,3,1No benefits At all,2,1No benefits At all,1No benefits At all,1No benefits At all,2,2,1No benefits At all,2,6,2,1No benefits At all,2,1No benefits At all,2,5,1No benefits At all,3
