sub,subn,Age,Male,alpha_pymc,beta_pymc,gamma_pymc
10,0,18.74246575,1,0.886,0.482,0.566
13,1,48.68493151,0,0.889,0.408,2.242
15,2,58.39452055,0,0.684,0.721,1.049
18,3,83.16986301,0,0.545,0.238,0.45
19,4,32.16712329,1,0.837,0.391,0.767
20,5,56.51780822,1,0.803,-0.075,1.85
22,7,54,1,0.667,-0.174,3.921
23,8,33.79726027,1,0.998,0.617,0.256
24,9,27.69041096,1,0.857,0.216,0.332
25,10,27.6630137,1,0.763,0.964,0.33
26,11,67.14794521,0,0.508,0.841,0.403
30,12,72.71506849,0,1.28,1.022,4.359
31,13,65.84383562,0,0.691,0.148,0.501
32,14,65.27945205,1,0.962,0.113,0.708
33,15,27.58356164,0,0.843,0.437,0.707
35,17,73.28493151,0,0.503,1.102,0.41
36,18,23.82191781,1,1.212,0.066,1.427
37,19,22.09041096,1,1.342,0.403,1.156
38,20,67.29315068,0,0.84,0.28,0.56
39,21,52.89315068,0,0.919,-1.022,1.789
41,22,59.55068493,0,0.809,-0.089,0.286
42,23,81.36164384,0,0.751,-0.064,0.801
43,24,24.14520548,1,0.841,-0.436,0.388
44,25,74.27671233,1,0.87,1.047,1.343
45,26,57.99452055,0,0.653,0.393,0.491
46,27,74.77534247,1,0.686,0.62,0.169
47,28,50.84383562,0,0.888,-1.163,0.516
48,29,36.40273973,0,1.025,-0.989,1.679
51,30,21.36712329,0,0.758,0.292,0.334
53,31,64.30136986,1,0.745,0.217,0.412
54,32,75.45205479,0,1.022,0.237,0.696
55,33,74.1369863,0,0.665,0.586,0.51
56,34,43.32876712,1,0.929,1.153,1.343
57,35,67.74794521,0,0.639,0.399,0.511
58,36,75.03561644,1,0.516,0.521,0.343
60,37,55.0739726,1,1.046,0.238,1.999
61,38,54.42191781,1,0.972,0.927,0.395
62,39,81.61369863,0,0.976,0.412,2.564
64,40,18.05205479,0,0.725,0.165,0.62
66,41,37.6,1,0.954,0.701,0.488
68,43,29.75068493,1,1,0.269,1.643
71,46,71.01369863,0,1.274,0.331,0.843
72,47,64.49589041,1,0.992,0.041,1.069
74,48,18.64109589,0,0.902,-0.267,3.965
75,49,71.21917808,0,0.809,0.393,1.396
77,51,24.1369863,0,0.903,0.673,0.704
82,56,79.47945205,1,1.003,1.012,0.202
87,59,50.10684932,0,0.998,0.313,0.379
89,61,83.11506849,1,0.894,0.851,0.604
